Month-Year,Stock Name,Week,Percentage Change
Apr-2023,AAATECH.NS,16,-7.038626609442063
Apr-2023,AAATECH.NS,17,-8.938053097345128
Apr-2023,AAATECH.NS,18,13.32684824902724
May-2023,AAATECH.NS,19,-9.958158995815905
May-2023,AAATECH.NS,20,0.0
May-2023,AAATECH.NS,21,0.0829875518672152
May-2023,AAATECH.NS,22,-0.6071118820468369
May-2023,AAATECH.NS,23,1.0554089709762557
Jun-2023,AAATECH.NS,23,-0.6938421509106654
Jun-2023,AAATECH.NS,24,-1.1596788581623525
Jun-2023,AAATECH.NS,25,-1.9108280254777146
Jun-2023,AAATECH.NS,26,9.644194756554304
Mar-2023,AAKASH.NS,13,4.799999999999997
Mar-2023,AAKASH.NS,14,-5.55555555555555
Apr-2023,AAKASH.NS,15,9.836065573770501
Apr-2023,AAKASH.NS,16,0.0
Apr-2023,AAKASH.NS,17,-1.5151515151515098
Apr-2023,AAKASH.NS,18,-1.538461538461533
May-2023,AAKASH.NS,19,0.0
May-2023,AAKASH.NS,20,0.7633587786259515
May-2023,AAKASH.NS,21,-0.7692307692307665
May-2023,AAKASH.NS,22,0.0
May-2023,AAKASH.NS,23,0.7812499999999972
Jun-2023,AAKASH.NS,23,0.0
Jun-2023,AAKASH.NS,24,-1.5748031496062938
Jun-2023,AAKASH.NS,25,-0.8064516129032229
Jun-2023,AAKASH.NS,26,-1.6393442622950762
Mar-2023,AAREYDRUGS.NS,13,-3.696098562628345
Mar-2023,AAREYDRUGS.NS,14,5.263157894736839
Apr-2023,AAREYDRUGS.NS,15,11.111111111111114
Apr-2023,AAREYDRUGS.NS,16,-7.570422535211263
Apr-2023,AAREYDRUGS.NS,17,5.194805194805203
Apr-2023,AAREYDRUGS.NS,18,0.5514705882353019
May-2023,AAREYDRUGS.NS,19,0.0
May-2023,AAREYDRUGS.NS,20,4.999999999999995
May-2023,AAREYDRUGS.NS,21,-5.084745762711865
May-2023,AAREYDRUGS.NS,22,2.1276595744680904
May-2023,AAREYDRUGS.NS,23,2.2569444444444398
Jun-2023,AAREYDRUGS.NS,23,3.350083752093802
Jun-2023,AAREYDRUGS.NS,24,-3.1796502384737675
Jun-2023,AAREYDRUGS.NS,25,8.914100486223662
Jun-2023,AAREYDRUGS.NS,26,-4.597701149425271
Mar-2023,AARON.NS,13,-2.1639166892074657
Mar-2023,AARON.NS,14,1.1586206896551692
Apr-2023,AARON.NS,15,5.370774263904032
Apr-2023,AARON.NS,16,1.6182892370922197
Apr-2023,AARON.NS,17,1.5301318267419963
Apr-2023,AARON.NS,18,1.5829318651066837
May-2023,AARON.NS,19,-1.5148089531991835
May-2023,AARON.NS,20,-1.9362186788154898
May-2023,AARON.NS,21,-6.061246040126714
May-2023,AARON.NS,22,4.497232472324723
May-2023,AARON.NS,23,-3.0684680558735926
Jun-2023,AARON.NS,23,2.2130013831258566
Jun-2023,AARON.NS,24,-3.112494441974211
Jun-2023,AARON.NS,25,-0.6310570205093557
Jun-2023,AARON.NS,26,-1.048791609667128
Mar-2023,AARTIDRUGS.NS,13,3.451966818303461
Mar-2023,AARTIDRUGS.NS,14,-7.516429353778749
Apr-2023,AARTIDRUGS.NS,15,13.77236726312703
Apr-2023,AARTIDRUGS.NS,16,1.7614678899082543
Apr-2023,AARTIDRUGS.NS,17,2.221953870305516
Apr-2023,AARTIDRUGS.NS,18,0.04754546535125294
May-2023,AARTIDRUGS.NS,19,-2.6321537789427722
May-2023,AARTIDRUGS.NS,20,4.4047887960243965
May-2023,AARTIDRUGS.NS,21,0.08713647750789179
May-2023,AARTIDRUGS.NS,22,-3.70290635091496
May-2023,AARTIDRUGS.NS,23,-1.5883744508279851
Jun-2023,AARTIDRUGS.NS,23,0.3739139997800606
Jun-2023,AARTIDRUGS.NS,24,0.0
Jun-2023,AARTIDRUGS.NS,25,0.7913279132791279
Jun-2023,AARTIDRUGS.NS,26,-4.565964761495487
Mar-2023,AARTIIND.NS,13,-4.136064940085037
Mar-2023,AARTIIND.NS,14,5.3364504980687135
Apr-2023,AARTIIND.NS,15,3.230458609749076
Apr-2023,AARTIIND.NS,16,1.9087523277467413
Apr-2023,AARTIIND.NS,17,-0.358840943751682
Apr-2023,AARTIIND.NS,18,2.134423251589464
May-2023,AARTIIND.NS,19,-2.0859557633519192
May-2023,AARTIIND.NS,20,-9.467615530132413
May-2023,AARTIIND.NS,21,-2.0104981677726124
May-2023,AARTIIND.NS,22,1.1476058567471332
May-2023,AARTIIND.NS,23,-0.4469490866692709
Jun-2023,AARTIIND.NS,23,-0.18460940536339787
Jun-2023,AARTIIND.NS,24,-1.9550909794812277
Jun-2023,AARTIIND.NS,25,2.84186553124071
Jun-2023,AARTIIND.NS,26,-3.3355762760742027
Mar-2023,AARTIPHARM.NS,13,-3.6166976508365876
Mar-2023,AARTIPHARM.NS,14,-2.4575671852899537
Apr-2023,AARTIPHARM.NS,15,4.469476744186051
Apr-2023,AARTIPHARM.NS,16,5.716652858326429
Apr-2023,AARTIPHARM.NS,17,-0.3555798687089746
Apr-2023,AARTIPHARM.NS,18,2.96652069501342
May-2023,AARTIPHARM.NS,19,2.3942021483111167
May-2023,AARTIPHARM.NS,20,0.9012345679012289
May-2023,AARTIPHARM.NS,21,-7.442898398529789
May-2023,AARTIPHARM.NS,22,2.465150403521637
May-2023,AARTIPHARM.NS,23,3.899211711711718
Jun-2023,AARTIPHARM.NS,23,-0.7091231419609889
Jun-2023,AARTIPHARM.NS,24,6.004029550033586
Jun-2023,AARTIPHARM.NS,25,1.8350995089170388
Jun-2023,AARTIPHARM.NS,26,-2.4433698142020783
